id,sample,library,fq1,fq2,sample_number,cell_type,stage,timepoint,cross,animal_id,slx_identifier,index_true_seq,run,pool,lane_number,date_sorted,rin,rna_qubit_concentration_ng_ul,library_prep_date,rin_category,ddw_ul,library_prep_input_in_ul_10ng,index,library_concentration_from_qubit_ng_ul,average_library_size_according_to_the_bioanalyzer_bp,library_concentration_n_m,comments
SLX-19103.D712rna_D501rna,endothelial_t0_cb_M00308039,LIB422,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D712rna_D501rna.H7FTJDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D712rna_D501rna.H7FTJDSXY.s_2.r_2.fq.gz,422,endothelial,nulliparous,t0,cb,M00308039,SLX-19103,D712rna_D501rna,NovaSeq_Run_5,pool_17_20,17,2018-11-28T00:00:00Z,3.8,NA,2020-01-27,lo,0,8,5'12+3'1,0.794,958,1.255772758904283,"used less, ran out"
SLX-19103.D709rna_D501rna,endothelial_t0_bc_M00308169,LIB417,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D709rna_D501rna.H7FTJDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D709rna_D501rna.H7FTJDSXY.s_2.r_2.fq.gz,417,endothelial,nulliparous,t0,bc,M00308169,SLX-19103,D709rna_D501rna,NovaSeq_Run_5,pool_17_20,17,2018-12-03T00:00:00Z,1,NA,2020-01-27,lo,0,8,5'9+3'1,1.09,606,2.7252725272527254,"used less, ran out"
SLX-19103.D711rna_D501rna,endothelial_t0_cb_M00356620,LIB421,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D711rna_D501rna.H7FTJDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D711rna_D501rna.H7FTJDSXY.s_2.r_2.fq.gz,421,endothelial,nulliparous,t0,cb,M00356620,SLX-19103,D711rna_D501rna,NovaSeq_Run_5,pool_17_20,17,2019-08-07T00:00:00Z,7.9,1.33,2020-01-27,hi,0,8,5'11+3'1,8.52,396,32.598714416896236,run out
SLX-19103.D710rna_D501rna,endothelial_t0_bc_M00308170,LIB418,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D710rna_D501rna.H7FTJDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D710rna_D501rna.H7FTJDSXY.s_2.r_2.fq.gz,418,endothelial,nulliparous,t0,bc,M00308170,SLX-19103,D710rna_D501rna,NovaSeq_Run_5,pool_17_20,17,2018-12-06T00:00:00Z,8.6,5.1,2020-01-27,hi,6.03921568627451,1.9607843137254903,5'10+3'1,1.07,422,3.8417348843889134,NA
SLX-19087.D706rna_D507rna,basal_t0_bc_M00308166,LIB412,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D706rna_D507rna.H7FTJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D706rna_D507rna.H7FTJDSXY.s_1.r_2.fq.gz,412,basal,nulliparous,t0,bc,M00308166,SLX-19087,D706rna_D507rna,NovaSeq_Run_5,pool_17_20,20,2018-12-06T00:00:00Z,8.8,1.4000000000000001,2020-01-27,hi,0.8571428571428577,7.142857142857142,5'6+3'7,1.79,366,7.41016724623282,run out
SLX-19087.D708rna_D507rna,basal_t0_cb_M00308035,LIB416,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D708rna_D507rna.H7FTJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D708rna_D507rna.H7FTJDSXY.s_1.r_2.fq.gz,416,basal,nulliparous,t0,cb,M00308035,SLX-19087,D708rna_D507rna,NovaSeq_Run_5,pool_17_20,20,2018-12-03T00:00:00Z,9,2,2020-01-27,hi,3,5,5'8+3'7,2.22,413,8.14439797490645,NA
SLX-19087.D705rna_D507rna,basal_t0_bc_M00308171,LIB411,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D705rna_D507rna.H7FTJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D705rna_D507rna.H7FTJDSXY.s_1.r_2.fq.gz,411,basal,nulliparous,t0,bc,M00308171,SLX-19087,D705rna_D507rna,NovaSeq_Run_5,pool_17_20,20,2018-12-06T00:00:00Z,7.9,4,2020-01-27,hi,5.5,2.5,5'5+3'7,2.62,421,9.429208954149573,NA
SLX-19087.D707rna_D507rna,basal_t0_cb_M00385476,LIB415,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D707rna_D507rna.H7FTJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D707rna_D507rna.H7FTJDSXY.s_1.r_2.fq.gz,415,basal,nulliparous,t0,cb,M00385476,SLX-19087,D707rna_D507rna,NovaSeq_Run_5,pool_17_20,20,2020-02-07T00:00:00Z,9.7,7.94,2020-02-12,hi,6.740554156171285,1.2594458438287153,5'7+3'7,19.5,379,77.95634444710961,NA
SLX-19105.D706rna_D505rna,basal_t0_bc_M00308170,LIB410,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D706rna_D505rna.H7FTJDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D706rna_D505rna.H7FTJDSXY.s_4.r_2.fq.gz,410,basal,nulliparous,t0,bc,M00308170,SLX-19105,D706rna_D505rna,NovaSeq_Run_5,pool_17_20,19,2018-12-06T00:00:00Z,9.6,4.8,2020-01-27,hi,5.916666666666666,2.0833333333333335,5'6+3'5,2.16,409,8.001778172927317,NA
SLX-19105.D707rna_D505rna,basal_t0_cb_M00356620,LIB413,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D707rna_D505rna.H7FTJDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D707rna_D505rna.H7FTJDSXY.s_4.r_2.fq.gz,413,basal,nulliparous,t0,cb,M00356620,SLX-19105,D707rna_D505rna,NovaSeq_Run_5,pool_17_20,19,2019-08-07T00:00:00Z,9.1,5,2020-02-12,hi,0,8,5'7+3'5,7.56,420,27.27272727272727,NA
SLX-19105.D705rna_D505rna,basal_t0_bc_M00308169,LIB409,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D705rna_D505rna.H7FTJDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D705rna_D505rna.H7FTJDSXY.s_4.r_2.fq.gz,409,basal,nulliparous,t0,bc,M00308169,SLX-19105,D705rna_D505rna,NovaSeq_Run_5,pool_17_20,19,2018-12-03T00:00:00Z,9.3,4.4,2020-01-27,hi,5.7272727272727275,2.2727272727272725,5'5+3'5,3.84,417,13.95247438412906,NA
SLX-19105.D708rna_D505rna,basal_t0_cb_M00385475,LIB414,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D708rna_D505rna.H7FTJDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D708rna_D505rna.H7FTJDSXY.s_4.r_2.fq.gz,414,basal,nulliparous,t0,cb,M00385475,SLX-19105,D708rna_D505rna,NovaSeq_Run_5,pool_17_20,19,2020-02-07T00:00:00Z,9.2,7.18,2020-02-12,hi,0,8,5'8+3'5,20.4,483,63.99397703745529,NA
SLX-19104.D711rna_D503rna,endothelial_t0_cb_M00385476,LIB423,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D711rna_D503rna.H7FTJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D711rna_D503rna.H7FTJDSXY.s_3.r_2.fq.gz,423,endothelial,nulliparous,t0,cb,M00385476,SLX-19104,D711rna_D503rna,NovaSeq_Run_5,pool_17_20,18,2020-02-07T00:00:00Z,9.4,5.94,2020-02-12,hi,0,8,5'11+3'3,9.3,419,33.62985463224127,NA
SLX-19104.D712rna_D503rna,endothelial_t0_cb_M00308035,LIB424,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D712rna_D503rna.H7FTJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D712rna_D503rna.H7FTJDSXY.s_3.r_2.fq.gz,424,endothelial,nulliparous,t0,cb,M00308035,SLX-19104,D712rna_D503rna,NovaSeq_Run_5,pool_17_20,18,2018-12-03T00:00:00Z,9.6,2.5,2020-01-27,hi,4,4,5'12+3'3,9.08,1135,12.121212121212121,NA
SLX-19104.D710rna_D503rna,endothelial_t0_bc_M00308166,LIB420,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D710rna_D503rna.H7FTJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D710rna_D503rna.H7FTJDSXY.s_3.r_2.fq.gz,420,endothelial,nulliparous,t0,bc,M00308166,SLX-19104,D710rna_D503rna,NovaSeq_Run_5,pool_17_20,18,2018-12-06T00:00:00Z,7.3,1.5333333333333332,2020-01-27,hi,1.4782608695652169,6.521739130434783,5'10+3'3,0.368,442,1.2614836144247907,"used less, ran out"
SLX-19104.D709rna_D503rna,endothelial_t0_bc_M00308171,LIB419,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D709rna_D503rna.H7FTJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D709rna_D503rna.H7FTJDSXY.s_3.r_2.fq.gz,419,endothelial,nulliparous,t0,bc,M00308171,SLX-19104,D709rna_D503rna,NovaSeq_Run_5,pool_17_20,18,2018-12-06T00:00:00Z,8.7,5.02,2020-01-27,hi,6.00796812749004,1.9920318725099604,5'9+3'3,0.99,461,3.2537960954446854,NA
SLX-18914.D706rna_D504rna,luminaldifferentiated_t0_bc_M00308166,LIB356,data/raw/reads/NovaSeq_Run_4/SLX-18914/SLX-18914.D706rna_D504rna.H7FT5DSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-18914/SLX-18914.D706rna_D504rna.H7FT5DSXY.s_1.r_2.fq.gz,356,luminal differentiated,nulliparous,t0,bc,M00308166,SLX-18914,D706rna_D504rna,NovaSeq_Run_4,pool_13_16,14,2018-12-06T00:00:00Z,9.3,5.32,2020-01-22,hi,6.120300751879699,1.8796992481203008,5'6+3'4,2.76,405,10.325476992143658,NA
